Donated,Gender,Race,Currently Using Award,Education,Years in Current job,CY Helped in Career,Recommend CY,Significantly positive impact,Helped Develop Relationship,Increased Civic Engagement,Top Experience Score,Will Support,Support CY Score
1,1,9,1,1,1,2,0,3,1,0,1.77027027,0,0
0,0,9,0,1,1,3,2,4,1,1,1.702702703,1,2
1,0,9,1,1,1,4,2,4,1,1,2.243243243,0,0
0,0,9,1,1,1,1,1,1,1,0,2.162162162,1,2
1,1,6,1,1,1,3,1,4,1,1,2.513513514,1,1
1,0,9,1,3,1,4,2,4,1,1,1.486486486,1,3
0,0,9,1,2,1,3,2,4,1,1,1.864864865,0,0
1,1,9,0,1,1,3,2,3,,1,2.351351351,0,0
1,1,9,1,4,1,3,2,4,1,1,3.567567568,1,4
0,0,9,0,,1,2,2,4,1,1,1.054054054,1,4
1,1,9,1,2,1,4,1,4,1,1,3.297297297,1,4
0,0,9,0,1,2,2,0,3,1,1,0.891891892,1,2
1,2,8,1,1,2,3,2,4,1,1,0.972972973,0,0
1,0,9,1,1,2,4,2,4,1,1,1.959459459,1,3
1,1,9,1,1,1,4,2,4,1,1,4.621621622,1,1
1,1,9,1,2,2,4,1,4,1,1,1.094594595,1,1
1,1,9,1,1,2,4,2,4,1,1,1.635135135,1,4
1,1,4,1,,1,3,2,4,1,1,2.148648649,1,4
1,0,9,1,2,1,4,2,4,1,1,1.743243243,1,3
0,0,9,0,1,1,3,1,4,1,1,2.567567568,1,3
1,1,9,1,1,1,3,1,3,1,1,2.864864865,0,0
0,0,3,1,,4,4,1,4,1,1,2,0,0
0,0,9,1,2,2,4,2,4,1,1,1.959459459,0,0
0,0,9,,1,1,3,1,4,1,0,0.959459459,1,2
0,1,9,0,1,3,1,0,3,1,1,0.405405405,0,0
1,0,3,1,2,1,3,2,4,1,1,2.986486486,1,4
1,0,9,1,2,1,3,2,4,1,1,1.810810811,1,4
0,0,9,1,1,,,2,4,1,1,0.810810811,1,4
1,0,3,1,1,,,2,4,1,1,1.594594595,1,4
0,1,3,1,2,1,3,2,4,1,1,1.608108108,1,3
1,0,9,1,2,1,4,2,4,1,1,2.554054054,1,3
0,0,9,0,1,1,4,2,4,1,1,0.891891892,1,4
1,0,3,1,2,1,4,2,4,1,1,1.148648649,1,4
1,0,9,1,2,1,3,1,4,1,1,2.675675676,0,0
1,1,9,1,0,1,3,2,4,1,1,2.027027027,1,4
0,0,9,1,2,1,3,1,3,1,1,2.864864865,0,0
0,0,3,1,2,1,2,1,3,1,0,3.364864865,1,3
0,1,1,0,2,1,4,2,4,1,1,1.662162162,1,4
1,0,9,1,2,1,4,2,4,1,1,1.486486486,1,4
